incident_id,date,country,customer_type,tracking_number,carrier,category,description,status,customer_email,satisfaction_score
TRF-000001,2024-01-08,ES,B2C,2YKCCPRHVLZ0,LOCAL_ES,RETURN_REQUEST,"Return requested within 14-day window, awaiting approval",OPEN,george.martin57@icloud.com,
TRF-000002,2024-01-11,ES,B2C,IEQFB85P8637,MRW,DAMAGE,"Outer box crushed, inner product compromised",CLOSED,diana.martin73@icloud.com,2
TRF-000003,2024-01-27,US,B2C,SHORT,UPS,DELAYED_DELIVERY,Parcel delayed for five days with no update,OPEN,charlie.white22@hotmail.com,
TRF-000004,2024-01-16,US,B2C,5RDOQIVBKV4Y,FEDEX,DELAYED_DELIVERY,Package held at sorting facility for unknown reason,CLOSED,alice.jones65@yahoo.com,3
TRF-000005,2024-01-24,US,B2C,NOBBUNKNQT3W,FEDEX,DELAYED_DELIVERY,Carrier attempted delivery but customer was not notified,CLOSED,bob.martin22@hotmail.com,1
TRF-000006,2024-01-26,US,B2C,9UNFVOBBZ2SF,FEDEX,WRONG_ADDRESS,Customer address was truncated in carrier system,CLOSED,fiona.clark50@yahoo.com,4
TRF-000007,2024-01-20,US,B2B,0KM3TZK3NY9V,FEDEX,DELAYED_DELIVERY,Estimated delivery date changed three times by carrier,CLOSED,alice.clark70@outlook.com,2
TRF-000008,2024-01-24,ES,B2B,BRSZ1N3IUZGP,SEUR,DELAYED_DELIVERY,Customer reports delivery window passed with no contact,OPEN,charlie.hall98@yahoo.com,
TRF-000009,2024-01-17,US,B2C,1750CEHLXSLG,FEDEX,WRONG_ADDRESS,Delivery attempted at old address not updated in system,DISCARDED,fiona.lewis97@live.com,
TRF-000010,2024-01-20,ES,B2B,R8KK791ZYRRU,DHL_ES,DAMAGE,"Outer box crushed, inner product compromised",CLOSED,evan.jones83@live.com,3
TRF-000011,2024-01-13,US,B2C,6OM1FB8C7X0H,DHL_US,LOST_PARCEL,Shipment marked delivered but customer has not received it,CLOSED,evan.martin23@icloud.com,2
TRF-000012,2024-01-08,ES,B2C,B6IIDLRYE89F,SEUR,WRONG_ADDRESS,Wrong postcode assigned during label generation,OPEN,helen.lewis35@outlook.com,
TRF-000013,2024-01-10,ES,B2C,X6DUT076G5G7,DHL_ES,WRONG_ADDRESS,Wrong postcode assigned during label generation,CLOSED,helen.martin47@gmail.com,2
TRF-000014,2024-01-10,US,B2C,UD9K9TR74QGE,UPS,DELAYED_DELIVERY,Delivery delayed due to weather conditions per carrier,OPEN,helen.lewis42@live.com,
TRF-000015,2024-01-01,US,B2C,02U1G463SDYG,UPS,DELAYED_DELIVERY,Delivery delayed due to weather conditions per carrier,CLOSED,helen.white41@gmail.com,5
TRF-000016,2024-01-13,US,B2B,I18K0AXYCELO,FEDEX,WRONG_ADDRESS,Delivery attempted at old address not updated in system,OPEN,bob.lewis47@outlook.com,
TRF-000017,2024-01-08,US,B2B,HEF0VOTQTXHI,DHL_US,DELAYED_DELIVERY,Estimated delivery date changed three times by carrier,DISCARDED,bob.clark67@icloud.com,
